topic_id,variety_source,site,topic
T0208,GB,foe.co.uk,"The Capitalist of Chaos, Bond villains and why"
T0209,ZA,aseedofthought.com,A Seed of Thought: All of the Lights
T0210,ZA,khayadlanga.com,"""Always use a condom"" said my dying uncle to me « Khaya Dlanga's"
T0211,IE,naturalforeststandard.com,The role of organized crime in deforestation
T0212,ZA,avovision.co.za,When you're on top of your Game!
T0213,ZA,charitysa.co.za,16 Days of Activism for No Violence Against Women and Children
T0214,US,clarissarezende.com,A Walk in the Country
T0215,IE,croftontraining.com,Word of the day: BACK « Crofton Training
T0216,ZA,indiasaridresses.shopping-blogs.com,# Barbie Collector Diwali Barbie Doll Festivals Of The World
T0217,US,blog.furniturelandsouth.com,Inspired Designs by Furnitureland South
T0218,IE,michaelcreedfg.wordpress.com,CREED URGES STUDENTS TO APPLY AS SOON AS POSSIBLE
T0219,ZA,africanhistory.about.com,ANC Admits to the use of Torture
T0220,AU,debtfreecashedupandlaughing.com.au,"To market, to market to get a great deal"
T0221,AU,globaljaunt.com,Guided Tours Are Not The Enemy « GLOBAL JAUNT
T0222,US,clemson.edu,Probing a mystery at the edge of space
T0223,AU,snippets.webaware.com.au,How to hack a WordPress plugin that doesn't have the filters you want
T0224,IE,marco.ie,Marco and Waterloo Tea at TEDGlobal
T0225,US,forums.opendns.com,OpenDNS Community &gt; Forums &gt; How Do I know that it is Working
T0226,ZA,south-africa-accommodation.org.za,Garden Route one of the Western Cape's tourism gems
T0227,ZA,brandgeneration.co.za,Top of Google Search Engine Rankings!
T0228,IE,tog.ie,A Night of Inspiring Talks - Science Week
T0229,GB,disdroid.co.uk,"Hamilton wins in Texas, Red Bull claim Constructors Cup"
T0230,US,announcementsgalore.com,Sickly Family Discovers New Home Had Been a Meth Lab
T0231,GB,studentwhat.com,5 questions to ask when you're looking for a student house
T0232,US,officestace.com,A Little Bit Nasty
T0233,US,macezra.com,Godspeed You Black Emperor! A (kind of) Review.
T0234,IE,alliancesupport.org,Archbishop: It is not the state's job to raise children
T0235,GB,bruichladdich.com,What Is The Difference Between The Classic And The
T0236,IE,broadsheet.ie,Heard The One About The Kerry Cycle Path?
T0237,GB,orthodoxengland.org.uk,On Fulfilling The Law Of Christ: The Spiritual Meaning Of The 20th
T0238,IE,thinkforyourself.ie,We need to take responsibility for our own professional development
T0239,IE,donegaldaily.com,'FAIRYTALE ECONOMICS': DONEGAL TD IN ROWDY CLASHES
T0240,IE,caraapacentre.ie,An Untapped Leisure Market
T0241,US,unalayee-summer-camp.com,Do you know how to pack for a hike? « Camp Unalayee
T0242,US,motrizmarketing.com,The Cost Of SEO Services With A Straight Answer
T0243,IE,hollisterlondon.org,Lots Of Things You'll Want To Take Into Account Picking Out Ideal
T0244,ZA,csjwealth.co.za,Long term insurance | CSJ Wealth Management
T0245,US,lindathompson.wordpress.com,I Was One of Them « Together Spreading Kindness
T0246,US,realintent.org,In Prison and Ye Came
T0247,GB,powerofyoga.co.uk,Five Reasons Why You Should Not be a Yoga Teacher
T0248,AU,iregretmyabortion.org.au,Sandra | Voices of Regret
T0249,AU,freemytorch.com,Blackberry Torch Unlocking Instructions
T0250,ZA,diamondringsforher.net,Choosing the right metal for your rings and earrings
T0251,AU,tigsmacallan.com.au,High tea in the Australian bush : tigsmacallan
T0252,GB,buzz50.com,"What, if anything, would you make with chocolate pasta?"
T0253,IE,bressiemusic.com,Bressie's Blog- Murder She Wrote?
T0254,US,hillbuzz.org,A good reason to never vote Democrat again: this is the party that
T0255,AU,turbosmart.com.au,The Evolution of the Evo
T0256,AU,sskb.com.au,Common Misconceptions of Strata Living
T0257,ZA,frustratingconditions.com,5 Tips You Must Follow In Order To Enjoy A Healthy Life
T0258,ZA,peasandcarets.com,The Easy Way Of Converting Mp4 To DVD Mac
T0259,US,blog.firstgiving.com,Add a bit of color to your next 5k
T0260,AU,colinwarren.net,more farewells and glad to have been able to help...
T0261,IE,ifoundafix.com,How to Make Internet Explorer the Default Web Browser
T0262,GB,baldwinberges.com,On the edge of our world
T0263,US,deadrobotssociety.com,"""City of the Fallen Sky"" by Tim Pratt- The Dead"
T0264,ZA,orangeslicesandbricks.blat.co.za,There's light at the end of the tunnel
T0265,US,brightideandbushytailed.com,Cliff Dwellers &amp; Cliff Jumpers « Bright Ide and Bushy Tailed
T0266,IE,greenwebarticles.com,How To Go Back To Sleep When You Wake Up
T0267,IE,kavanagh-ensemble.com,Beautiful wedding in Wexford
T0268,AU,insure4less.com.au,How Early Should You Book Your Honeymoon? : : Travel Insurance
T0269,US,cameroneffect.com,I want you to know how powerful and positive this is
T0270,IE,kanchi.org,Kanchi Calls on Irish Businesses to Open Their Doors to People
T0271,US,kopimismoz.wordpress.com,Australian Attorney General says public scrutiny of spying bill would
T0272,US,thesinglefilez.com,Single men dating tips-how to go back to the swing of things secret
T0273,IE,musicianstogether.com,In Defence of Cover Songs
T0274,AU,thebigsieve.com,Top of the Ads « The Big Sieve
T0275,AU,louisaclaire.com,3 ways to take care of your teeth during pregnancy.
T0276,AU,vintagegrrl.net,It Was a Blue Hawaii Christmas Party
T0277,AU,theversatilegent.com,Bond &amp; Knight + The Versatile Gent Wallet
T0278,US,scottweberwriter.wordpress.com,Up on the Roof « scottweberwriter
T0279,GB,crunchedproductions.com,Exploring the work of famous artists in iMovie
T0280,AU,iphone5review.com.au,iPhone 5 - It is almost here - released today
T0281,AU,uhphg.com,CFP: From the Ground Up
T0282,GB,governmentdebtconsolidationloan.net,"Chapter 7 Bankruptcy: What You Need to Know, What to Ask Your"
T0283,ZA,rockseed.co.za,Scripture of the Week
T0284,GB,sbaconsulting.org.uk,How to get the most out of your Recruitment Consultant (and hire the
T0285,GB,best4watches.co.uk,Using Watches As Fashion Accessories
T0286,ZA,outrightrugby.com,November Internationals week 1 recap
T0287,IE,fast-fix.ie,Test Blog | Fast Fix Jewellers
T0288,ZA,my-easy-cooking.com,Thanks for lamb shanks!
T0289,ZA,parisandpomegranates.com,if i could fly: Caught in the middle of a national water fight
T0290,IE,globaltravelhelp.com,What is it that makes prejudiced people think that they are better
T0291,AU,limetreekids.com,A kiss in the morning
T0292,US,enthusiasmofthemonth.blogspot.com,Enthusiasm of the month: The 'age of reason' and the 'age of faith'
T0293,IE,webawards.ie,Are we there yet? Countdown to November 1st
T0294,AU,journalofafrenchfoodie.com,Tarte meringuée au citron (Lemon meringue tart)
T0295,US,usconservatives.about.com,2009: What Could Have Been
T0296,GB,blog.flint-consulting.com,"""Making Change Stick"" - A matter of life or death?"
T0297,US,fallibleblogma.com,What does it mean to take the Lord's name in vain?
T0298,GB,medwinds.co.uk,At the bottom of the Mediterranean Sea
T0299,IE,mikaelfernstrom.com,Amhran na Beacha (Song of the Bees) « Mikael Fernstrom
T0300,US,emilysarthritisfight.blogspot.com,May I point you elsewhere for a moment?
T0301,IE,kwlnerd.wordpress.com,Back to the past
T0302,IE,holistic-interior-designs.com,How buying green may not be eco friendly
T0303,ZA,sabusinesshub.co.za,Many of the bodies were repatriated
T0304,AU,helenapastor.com,The possibilities of life « Helena Pastor
T0305,GB,cocp.co.uk,5 Things You Need to Make It as a Freelance Writer
T0306,GB,normandyinsite.com,Motivation or Action. What comes first?
T0307,US,thebells.umhb.edu,Daughter of chapel speaker inspires students to do good deeds for
T0308,GB,bryanislip.com,Bryan writes fiction worth
T0309,US,billboard.com,Easton Corbin Aims to Top Debut With 'All Over the Road'
T0310,GB,forums.thepoultrykeeper.co.uk,The Poultry Keeper Forums * View topic
T0311,IE,bagheadinc.net,Heads Up! New Feature Added! « bagheadinc.net
T0312,AU,eatsleepbusiness.com,How To Make It In America
T0313,ZA,nikela.org,"Why I love Africa, Wildlife and Especially the Rhino"
T0314,US,theadblog.net,three trends in the future - Acoustic Dimensions Blog
T0315,IE,traveledits.com,The Bed Edit: The Independente Hostel and Suites Lisbon
T0316,ZA,snowmenu.com,Feet comfort when skiing « Snow Menu
T0317,IE,hughoconnell.com,Wikileaks diplomatic files not as shocking as we're being told
T0318,ZA,gondwanagr.co.za,A Day in the Life of a Gondwana Horse
T0319,AU,webdesigners.net.au,How do I get a website?
T0320,IE,actusvisa.wordpress.com,Working Holiday Programme Republic of China (Taiwan) Nationals
T0321,US,femlegaltheory.blogspot.com,Feminist Legal Theory: The right to pee
T0322,US,linnettaylor.wordpress.com,"The internet archiving puzzle: who can capture the web, and what"
T0323,US,bpmrecordz.com,Health Benefits of Music
T0324,US,mendingthesoul.org,The Mending the Soul Workbook for Men and Women has arrived
T0325,AU,thenutritioncoach.com.au,proof is in the pudding
T0326,AU,realfijinews.wordpress.com,President of the YPCN... PLEASE READ THIS.
T0327,US,rowhouseliving.blogspot.com,Rowhouse Livin': Clothes used to be more sturdy
T0328,US,silverlightshow.net,WinRT Behavior to Turn FlipView into a Kind of Windows 8 Panorama
T0329,AU,michaelhartmp.com.au,Guardianship and Administration and other Legislation Bill 2012
T0330,ZA,sugsa.org.za,Event Report: Leading Self-Organising Teams
T0331,ZA,africaonline.org.za,Cape Town not a host city for AFCON 2013
T0332,ZA,portstfrancis.net,World unites at Port St Francis
T0333,IE,houseandhome.ie,You shall not pass... up a chance to stay at The Hobbit Motel
T0334,GB,jacqueline-hill.com,"Light shed by Spotlight: The Man Who Came to Dinner, The"
T0335,AU,theyouthcollective.com,You Don't Really Want to be Successful... THEYOUTHCOLLECTIVE.
T0336,AU,jesslovesfred.com,Jess Loves Fred: Tentatively
T0337,ZA,fittestincapetown.com,Seeding for teams and individuals: Post your scores until December 4
T0338,US,doubleclickpublishers.blogspot.com,DoubleClick Publisher Blog: Sell more on more screens with DFP
T0339,ZA,allchorn.com,Are lowballers destroying the website design industry?
T0340,AU,reconciliation.org.au,Reconciliation is what you make it
T0341,ZA,consummatestreet.bloglines.co.za,A Couple of Interesting Chair Rail Ideas and processes
T0342,US,wiveswithknives.net,Golden Fruitcake ~ Now is the Time to Make It
T0343,ZA,fireflyafrica.blogspot.com,The Firefly Photo Files: First time on the Gautrain
T0344,GB,hacvs.org,Vote for your favourite 'Dressed for Success' display
T0345,ZA,set-your-boundaries-your-way.com,How Boundaries Make a Relationship Work.
T0346,IE,cubeonlinemarketing.ie,Brand Killed by SEO Link Building
T0347,GB,ottosentieri.com,Google+: The Dark Side of the Circle
T0348,ZA,bakelovenotwar.co.za,"Changing the world, one cupcake at a time."
T0349,GB,chrisglennie.com,"Leadership, communication and motivation in the workplace"
T0350,US,globalleadprogram.org,I Want To Be ... Out of the Ordinary!
T0351,ZA,jawcrushersx.com,5 Of The Most Renowned Video Games For The PS3
T0352,GB,mindspace.org.uk,Creating Mind Space with a group of 16 year
T0353,GB,thelondonfoodie.co.uk,Kitchen Influentials Lunch at Hix Oyster &amp; Chop House
T0354,IE,rhodakirwan.com,"Wild Mushroom Foraging (""Big Bill's Wild Mushroom Hunts"")"
T0355,IE,leitrimcommunity.com,COLIN AND LAURA RECEIVE GUARDIAN AWARD
T0356,IE,wexfordgreenparty.com,Hands Off Cultural Institutions Says NCFA
T0357,AU,billabonggirls.com.au,ART &amp; THE OCEAN
T0358,GB,birdcagelive.com,A little bit of Botox!
T0359,AU,toxinfreefuture.com,Can Exercise Make You Fat?
T0360,US,journeybacktoclassroom.wordpress.com,A Journey Back into the Classroom
T0361,AU,girlwithasatchel.blogspot.com,Girl With a Satchel: The Middle Brow
T0362,IE,republican-news.org,Departing Ombudsman warns of collusion dangers
T0363,ZA,enitiate.me,Future of South African smartphone market holds promise for mobile
T0364,US,fox43tv.com,Teen killed at Chesapeake house party
T0365,IE,sowandgrow.ie,Time to start thinking about Daffodils...
T0366,ZA,handsomethings.com,Tropic of Soda « handsome things
T0367,US,jabartlett.wordpress.com,"This, That, and the Other « The Hits Just Keep On Comin'"
T0368,US,quiltersclubofamerica.com,Spudgrandma's Thoughts on Quilting &amp; Life!
T0369,US,newmediarockstars.com,YouTube's Democratic Convention Live Stream Error: What Happened
T0370,US,pghpsychotherapy.com,The Nature of Change
